,,,,,Name,GEJRNEYA-RI8586A_Src_(Lin)_(vsFreq)(vsPset)_Validate_2021-10-05T14-15-39
Result Number,Result Name,Units,U Limit,L Limit
191,Src Pout Error (min),db,1,-1,,-0.1464
192,(Error vs Freq)(Avg)Max,db,1,-1,,-0.0138754629
193,(Error vs Freq)(Avg)Max at Freq,Hz,,,,-4.29e-08
194,(Error vs Freq)(Avg)Mean,db,,,,11000000000
195,(Error vs Freq)(Avg)Min,db,1,-1,,0.009
196,(Error vs Freq)(Avg)Min at Freq,Hz,,,,20000.0
197,(Error vs Freq)(Abs)(Avg)Max,db,1,,,0.01665
198,(Error vs Freq)(Abs)(Avg)Max at Freq,Hz,,,,2.9875e-09
199,(Error vs Freq)(Abs)(Avg)Mean,db,,,,11000000000
200,(Error vs Freq)(Abs)(Avg)Min,db,,,,0.0429
201,(Error vs Freq)(Range)Max,db,1,,,20000000
202,(Error vs Freq)(Range)Max at Freq,Hz,,,,1.491e-07
203,(Error vs Freq)(Range)Mean,db,,,,0.0241962962
204,(Error vs Freq)(Range)Min,db,,,,0.0062
205,(Error vs Pset)(Avg)Max,db,1,-1,,-21
206,(Error vs Pset)(Avg)Max at Pset,dbm,,,,-3
207,(Error vs Pset)(Avg)Mean,db,,,,-0.0138754629
208,(Error vs Pset)(Avg)Min,db,1,-1,,-0.0178148148
209,(Error vs Pset)(Avg)Min at Pset,dbm,,,,-0.0105185185
210,(Error vs Pset)(Abs)(Avg)Max,db,1,,,0.0189037037
211,(Error vs Pset)(Abs)(Avg)Max at Pset,dbm,,,,0.01665
212,(Error vs Pset)(Abs)(Avg)Mean,db,,,,0.0149074074
213,(Error vs Pset)(Abs)(Avg)Min,db,,,,-3
214,(Error vs Pset)(Range)Max,db,,,,0.085825
215,(Error vs Pset)(Range)Max at Pset,dbm,,,,0.1553
216,(Error vs Pset)(Range)Mean,db,,,,0.0512
217,(Error vs Pset)(Range)Min,db,,,,-3
